Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,6,24,3,2271.54,2245.22,2270.94,-0.158042561434%,0.132726414338%,1.263793847482%,-3.59,2.98,28.7,-1,Salj
2021,6,23,2,2275.13,2242.24,2242.24,0.045711673619%,-0.508420151277%,-1.148851148851%,1.04,-11.4,-25.76,1,Kop
2021,6,22,1,2274.09,2253.64,2268,0.176774006306%,1.170994480041%,0.093915343915%,4.02,26.39,2.13,-1,Salj
2021,6,21,0,2270.07,2227.25,2265.87,-0.695132749210%,-0.805926591088%,0.787776880404%,-15.78,-17.95,17.85,2,Behall
2021,6,18,4,2285.85,2245.2,2248.02,0.081370168646%,-1.084535898806%,-1.102748196190%,1.86,-24.35,-24.79,1,Kop
2021,6,17,3,2283.99,2269.55,2272.81,-0.406744337760%,-0.186821176004%,-0.598378219033%,-9.29,-4.24,-13.6,-2,Behall
2021,6,16,2,2293.28,2273.79,2286.41,-0.210615363148%,-0.191750337542%,0.277290599674%,-4.83,-4.36,6.34,-1,Salj
2021,6,15,1,2298.11,2278.15,2280.07,-0.098776820953%,0.153633430635%,-0.200432442864%,-2.27,3.5,-4.57,1,Kop
2021,6,14,0,2300.38,2274.65,2284.64,0.825081073562%,0.497658980503%,0.264374255900%,18.98,11.32,6.04,-1,Salj
2021,6,11,4,2281.4,2263.33,2278.6,0.357236784431%,0.124153349269%,0.468708856315%,8.15,2.81,10.68,2,Behall
2021,6,10,3,2273.25,2260.52,2267.92,-0.219949411635%,-0.191106471077%,-0.192687572754%,-5,-4.32,-4.37,1,Kop
2021,6,9,2,2278.25,2264.84,2272.29,-0.145725886097%,0.143056463150%,-0.113981930123%,-3.32,3.24,-2.59,-2,Behall
2021,6,8,1,2281.57,2261.6,2274.88,0.068373970555%,-0.181287584011%,0.315181460121%,1.56,-4.1,7.17,-1,Salj
2021,6,7,0,2280.01,2265.7,2267.71,-0.299998684216%,0.143884892086%,-0.164042139427%,-6.84,3.26,-3.72,1,Kop
2021,6,4,4,2286.85,2262.44,2271.43,0.561033736362%,0.608192924453%,-0.084528248724%,12.83,13.76,-1.92,-2,Behall
2021,6,3,3,2274.02,2248.68,2273.35,-0.076076727557%,-0.478502943949%,0.200145160226%,-1.73,-10.76,4.55,-1,Salj
2021,6,2,2,2275.75,2259.44,2268.8,0.033395583873%,0.384165988032%,0.188205218618%,0.76,8.68,4.27,3,Behall
2021,6,1,1,2274.99,2250.76,2264.53,0.674728240564%,0.394977696423%,1.000649141323%,15.35,8.89,22.66,2,Behall
2021,5,31,0,2259.64,2241.87,2241.87,0.031420934308%,0.043713507028%,-0.605744311668%,0.71,0.98,-13.58,1,Kop
2021,5,28,4,2258.93,2240.89,2255.45,0.328031413103%,0.870189969164%,0.487264182314%,7.41,19.5,10.99,-1,Salj
2021,5,27,3,2251.52,2221.39,2244.46,-0.046635162024%,0.033312475522%,0.774796610321%,-1.05,0.74,17.39,2,Behall
2021,5,26,2,2252.57,2220.65,2227.07,-0.082128413323%,-0.933960777250%,-0.722922943599%,-1.85,-20.74,-16.1,1,Kop
2021,5,25,1,2254.42,2241.39,2243.17,0.263482403456%,0.250737265715%,-0.083364167673%,5.94,5.62,-1.87,-2,Behall
2021,5,24,0,2248.48,2235.77,2245.04,-0.043584999644%,0.397178600661%,0.187079072088%,-0.98,8.88,4.2,-1,Salj
2021,5,21,4,2249.46,2226.89,2240.84,0.368532892339%,1.006785247587%,0.024990628514%,8.29,22.42,0.56,3,Behall
